BTC_PRICE,COUNT,MEAN,MEDIAN,SUM
7802.65,2726,0.26,0.23,716.48
7832.07,2507,0.14,0.15,356.75
7861.52,2163,0.18,0.2,385.2
7805,1951,0.21,0.2,405.12
7973.01,1689,0.22,0.21,370.73
7938.05,1556,0.22,0.25,347.86
7927.51,1676,0.23,0.25,377.85
7706.73,1586,0.22,0.24,352.17
7624.88,1762,0.19,0.19,330.57
7660.55,1527,0.22,0.22,334.56
7614.05,1534,0.2,0.2,303.67
7639.25,1617,0.28,0.31,456.34
7492.53,1946,0.23,0.24,443.72
7382.87,2071,0.2,0.21,413.05
7374.39,2018,0.23,0.24,458.36
7346.44,2080,0.21,0.21,429.14
6267.29,4299,0.11,0.12,454.27
6060,4855,0.12,0.14,583.93
6081.86,4987,0.13,0.14,645.36
5970.94,5351,0.14,0.15,768.69
6106.82,4143,0.15,0.17,617.44
6132.9,3973,0.14,0.15,562.02
6085.99,3782,0.16,0.18,623.42
6109.97,3261,0.15,0.17,479.76
5988.25,2973,0.12,0.14,367.04
6026.92,2684,0.12,0.13,331.03
5707.06,2963,0.08,0.09,230.22
5776.45,3261,0.08,0.12,265.79
5799.82,2682,0.08,0.1,207.66
4873.82,4721,0.06,0.06,263.06
4671.97,4303,0.07,0.09,292.29
4183.51,3474,0.07,0.1,228.03
5139.43,4522,0.07,0.09,304.98
5399.72,3298,0.09,0.13,285.14
4815.73,2968,0.09,0.11,258.29
4969.99,2705,0.11,0.12,292.54
5251.31,2750,0.12,0.16,341.94
5445.01,3014,0.14,0.17,408.02
5360.97,3028,0.1,0.1,296.85
5768.81,2881,0.13,0.17,380.72
5647.26,2827,0.13,0.14,357.56
5465.56,2944,0.12,0.14,350.44
5637.98,3398,0.14,0.16,465.11
5655.46,3218,0.13,0.14,412.13
5444.71,3256,0.14,0.18,471.92
5250.67,3374,0.14,0.17,470.51
5224.64,3104,0.14,0.17,442.41
5222.17,2927,0.15,0.15,446.09
5032.04,2972,0.12,0.15,360.84
5445,2252,0.13,0.15,288.03
5442.68,2065,0.13,0.14,275.36
5567.26,2106,0.13,0.14,280.9
